Orthogroup	ARSEF_1520	ARSEF_1564	ARSEF_2597	ARSEF_2860	ARSEF_3097	ARSEF_4305	ARSEF_5078	ARSEF_8028
OG0000000	"FUN_000105-T1, FUN_002706-T1, FUN_009089-T1, FUN_009096-T1"	"FUN_002987-T1, FUN_006412-T1"	"FUN_001105-T1, FUN_003876-T1"	"FUN_001551-T1, FUN_003934-T1"	"FUN_000527-T1, FUN_008569-T1"	"FUN_001866-T1, FUN_005571-T1"	"FUN_003910-T1, FUN_007985-T1"	"FUN_002144-T1, FUN_004484-T1"
OG0000001	"FUN_006574-T1, FUN_007914-T1, FUN_009180-T1, FUN_009181-T1, FUN_009216-T1"	"FUN_005415-T1, FUN_006796-T1"	"FUN_008593-T1, FUN_009465-T1"		"FUN_003309-T1, FUN_003310-T1"	"FUN_005264-T1, FUN_007820-T1"	FUN_008143-T1	FUN_007689-T1
OG0000002	"FUN_002815-T1, FUN_009190-T1"	FUN_008815-T1	"FUN_006526-T1, FUN_007834-T1"	"FUN_001664-T1, FUN_009221-T1"	FUN_003168-T1	"FUN_002758-T1, FUN_007185-T1, FUN_009483-T1"	FUN_008097-T1	FUN_002031-T1
OG0000003	"FUN_005655-T1, FUN_007872-T1, FUN_008028-T1"	FUN_009396-T1	FUN_004839-T1	"FUN_002144-T1, FUN_008733-T1"	FUN_001973-T1	"FUN_002151-T1, FUN_004512-T1"	"FUN_008842-T1, FUN_008843-T1"	FUN_006889-T1
OG0000004	FUN_006915-T1		FUN_006363-T1		"FUN_003578-T1, FUN_004605-T1, FUN_005158-T1, FUN_005260-T1, FUN_008649-T1, FUN_008654-T1, FUN_008947-T1, FUN_009188-T1"	FUN_009627-T1	FUN_008497-T1	FUN_008793-T1
OG0000005			"FUN_003352-T1, FUN_009014-T1, FUN_009606-T1"	"FUN_008570-T1, FUN_009047-T1, FUN_009503-T1"	FUN_009444-T1	"FUN_004192-T1, FUN_009688-T1, FUN_009869-T1"	"FUN_008005-T1, FUN_009506-T1"	FUN_009122-T1
OG0000006	FUN_001329-T1	FUN_003952-T1	FUN_004550-T1	"FUN_002321-T1, FUN_004474-T1, FUN_008560-T1, FUN_008974-T1, FUN_009284-T1"	FUN_005731-T1	FUN_006804-T1	FUN_005230-T1	FUN_006600-T1
OG0000007	FUN_001889-T1			"FUN_000647-T1, FUN_007149-T1, FUN_008553-T1, FUN_008564-T1, FUN_008845-T1"	"FUN_005228-T1, FUN_006628-T1"	"FUN_008801-T1, FUN_009741-T1"		"FUN_003132-T1, FUN_007026-T1"
OG0000008	FUN_008744-T1	FUN_006435-T1	FUN_003353-T1	FUN_005953-T1	"FUN_000309-T1, FUN_005914-T1"	"FUN_000389-T1, FUN_002354-T1, FUN_009691-T1"	"FUN_002713-T1, FUN_009201-T1"	FUN_004617-T1
OG0000009	FUN_009113-T1	FUN_005013-T1	"FUN_006538-T1, FUN_007604-T1, FUN_008977-T1"	"FUN_001676-T1, FUN_009126-T1, FUN_009392-T1"	FUN_000429-T1		"FUN_000185-T1, FUN_009438-T1"	FUN_002018-T1
