Orthogroup,ARSEF_1520,ARSEF_1564,ARSEF_2597,ARSEF_2860,ARSEF_3097,ARSEF_4305,ARSEF_5078,ARSEF_8028,presence_sum
OG0007563,0,1,0,0,0,0,0,0,1
OG0007572,0,0,1,0,0,0,0,0,1
OG0008412,0,0,0,0,1,0,0,0,1
OG0008983,0,0,1,0,0,0,0,0,1
OG0009006,0,0,0,1,0,0,0,0,1
OG0009257,0,0,1,0,0,0,0,0,1
OG0009267,0,0,1,0,0,0,0,0,1
OG0009274,0,0,1,0,0,0,0,0,1
OG0009282,0,0,1,0,0,0,0,0,1
OG0009292,0,0,1,0,0,0,0,0,1
OG0009294,0,0,1,0,0,0,0,0,1
OG0009301,0,0,1,0,0,0,0,0,1
OG0009322,0,0,1,0,0,0,0,0,1
OG0009327,0,0,0,1,0,0,0,0,1
OG0009334,0,0,0,1,0,0,0,0,1
OG0009340,0,0,0,0,0,1,0,0,1
OG0009341,0,0,0,0,0,1,0,0,1
OG0009342,0,0,0,0,0,0,1,0,1
OG0009343,0,0,0,0,0,0,1,0,1
OG0009391,1,0,0,0,0,0,0,0,1
OG0009401,1,0,0,0,0,0,0,0,1
OG0009423,1,0,0,0,0,0,0,0,1
OG0009430,1,0,0,0,0,0,0,0,1
OG0009431,1,0,0,0,0,0,0,0,1
OG0009518,0,1,0,0,0,0,0,0,1
OG0009520,0,1,0,0,0,0,0,0,1
OG0009549,0,1,0,0,0,0,0,0,1
OG0009581,0,1,0,0,0,0,0,0,1
OG0009605,0,0,1,0,0,0,0,0,1
OG0009613,0,0,1,0,0,0,0,0,1
OG0009639,0,0,1,0,0,0,0,0,1
OG0009644,0,0,1,0,0,0,0,0,1
OG0009652,0,0,1,0,0,0,0,0,1
OG0009653,0,0,1,0,0,0,0,0,1
OG0009657,0,0,1,0,0,0,0,0,1
OG0009664,0,0,1,0,0,0,0,0,1
OG0009671,0,0,1,0,0,0,0,0,1
OG0009673,0,0,1,0,0,0,0,0,1
OG0009683,0,0,1,0,0,0,0,0,1
OG0009690,0,0,0,1,0,0,0,0,1
OG0009695,0,0,0,1,0,0,0,0,1
OG0009711,0,0,0,1,0,0,0,0,1
OG0009712,0,0,0,1,0,0,0,0,1
OG0009717,0,0,0,1,0,0,0,0,1
OG0009739,0,0,0,0,0,1,0,0,1
OG0009740,0,0,0,0,0,1,0,0,1
OG0009748,0,0,0,0,0,1,0,0,1
OG0009749,0,0,0,0,0,1,0,0,1
OG0009750,0,0,0,0,0,1,0,0,1
OG0009751,0,0,0,0,0,0,1,0,1
OG0009752,0,0,0,0,0,0,1,0,1
OG0009753,0,0,0,0,0,0,1,0,1
OG0009754,0,0,0,0,0,0,1,0,1
OG0009755,0,0,0,0,0,0,1,0,1
OG0009756,0,0,0,0,0,0,1,0,1
OG0009757,0,0,0,0,0,0,0,1,1
OG0009758,0,0,0,0,0,0,0,1,1
OG0009760,1,0,0,0,0,0,0,0,1
OG0009766,1,0,0,0,0,0,0,0,1
OG0009776,1,0,0,0,0,0,0,0,1
OG0009782,1,0,0,0,0,0,0,0,1
OG0009790,1,0,0,0,0,0,0,0,1
OG0009827,1,0,0,0,0,0,0,0,1
OG0009837,1,0,0,0,0,0,0,0,1
OG0009855,1,0,0,0,0,0,0,0,1
OG0009859,1,0,0,0,0,0,0,0,1
OG0009860,1,0,0,0,0,0,0,0,1
OG0009862,1,0,0,0,0,0,0,0,1
OG0009879,0,1,0,0,0,0,0,0,1
OG0009885,0,1,0,0,0,0,0,0,1
OG0009895,0,1,0,0,0,0,0,0,1
OG0009896,0,1,0,0,0,0,0,0,1
OG0009901,0,1,0,0,0,0,0,0,1
OG0009909,0,1,0,0,0,0,0,0,1
OG0009973,0,0,1,0,0,0,0,0,1
OG0009977,0,0,1,0,0,0,0,0,1
OG0009984,0,0,1,0,0,0,0,0,1
OG0009986,0,0,1,0,0,0,0,0,1
OG0010026,0,0,1,0,0,0,0,0,1
OG0010039,0,0,1,0,0,0,0,0,1
OG0010043,0,0,1,0,0,0,0,0,1
OG0010060,0,0,1,0,0,0,0,0,1
OG0010064,0,0,1,0,0,0,0,0,1
OG0010071,0,0,1,0,0,0,0,0,1
OG0010080,0,0,1,0,0,0,0,0,1
OG0010100,0,0,0,1,0,0,0,0,1
OG0010109,0,0,0,1,0,0,0,0,1
OG0010110,0,0,0,1,0,0,0,0,1
OG0010111,0,0,0,1,0,0,0,0,1
OG0010128,0,0,0,1,0,0,0,0,1
OG0010134,0,0,0,1,0,0,0,0,1
OG0010135,0,0,0,1,0,0,0,0,1
OG0010139,0,0,0,1,0,0,0,0,1
OG0010140,0,0,0,1,0,0,0,0,1
OG0010145,0,0,0,1,0,0,0,0,1
OG0010147,0,0,0,1,0,0,0,0,1
OG0010150,0,0,0,1,0,0,0,0,1
OG0010153,0,0,0,1,0,0,0,0,1
OG0010156,0,0,0,1,0,0,0,0,1
OG0010163,0,0,0,0,1,0,0,0,1
OG0010165,0,0,0,0,1,0,0,0,1
OG0010177,0,0,0,0,1,0,0,0,1
OG0010178,0,0,0,0,1,0,0,0,1
OG0010179,0,0,0,0,1,0,0,0,1
OG0010182,0,0,0,0,1,0,0,0,1
OG0010193,0,0,0,0,1,0,0,0,1
OG0010222,0,0,0,0,1,0,0,0,1
OG0010225,0,0,0,0,0,1,0,0,1
OG0010226,0,0,0,0,0,1,0,0,1
OG0010230,0,0,0,0,0,1,0,0,1
OG0010231,0,0,0,0,0,1,0,0,1
OG0010232,0,0,0,0,0,1,0,0,1
OG0010235,0,0,0,0,0,1,0,0,1
OG0010241,0,0,0,0,0,1,0,0,1
OG0010242,0,0,0,0,0,1,0,0,1
OG0010247,0,0,0,0,0,1,0,0,1
OG0010261,0,0,0,0,0,1,0,0,1
OG0010262,0,0,0,0,0,1,0,0,1
OG0010266,0,0,0,0,0,1,0,0,1
OG0010269,0,0,0,0,0,1,0,0,1
OG0010271,0,0,0,0,0,1,0,0,1
OG0010272,0,0,0,0,0,1,0,0,1
OG0010273,0,0,0,0,0,1,0,0,1
OG0010276,0,0,0,0,0,0,1,0,1
OG0010284,0,0,0,0,0,0,1,0,1
OG0010291,0,0,0,0,0,0,1,0,1
OG0010292,0,0,0,0,0,0,1,0,1
OG0010293,0,0,0,0,0,0,1,0,1
OG0010294,0,0,0,0,0,0,1,0,1
OG0010297,0,0,0,0,0,0,1,0,1
OG0010298,0,0,0,0,0,0,1,0,1
OG0010299,0,0,0,0,0,0,1,0,1
OG0010300,0,0,0,0,0,0,1,0,1
OG0010301,0,0,0,0,0,0,1,0,1
OG0010302,0,0,0,0,0,0,1,0,1
OG0010303,0,0,0,0,0,0,1,0,1
OG0010306,0,0,0,0,0,0,1,0,1
OG0010308,0,0,0,0,0,0,1,0,1
OG0010309,0,0,0,0,0,0,1,0,1
OG0010310,0,0,0,0,0,0,1,0,1
OG0010311,0,0,0,0,0,0,1,0,1
OG0010312,0,0,0,0,0,0,1,0,1
OG0010313,0,0,0,0,0,0,1,0,1
OG0010314,0,0,0,0,0,0,0,1,1
OG0010315,0,0,0,0,0,0,0,1,1
OG0010316,0,0,0,0,0,0,0,1,1
